kingdom	phylum	order	family	genus	species	sci.name
Animalia	Mollusca	NA	Trimeroceratidae	Pentameroceras	NA	Pentameroceras NA
Animalia	Mollusca	Unionida	Unionidae	Sagittunio	nasutus	Sagittunio nasutus
Animalia	Mollusca	Littorinimorpha	Hydrobiidae	Marstonia	scalariformis	Marstonia scalariformis
Animalia	Mollusca	Ammonoidea	Prodromitidae	Prodromites	gorbyi	Prodromites gorbyi
Animalia	Mollusca	NA	Trimeroceratidae	Pentameroceras	cumingsi	Pentameroceras cumingsi
Animalia	Mollusca	NA	Planorbidae	Ferrissia	californica	Ferrissia californica
Animalia	Mollusca	Venerida	Sphaeriidae	Pisidium	ferrugineum	Pisidium ferrugineum
Animalia	Mollusca	Pleurotomariida	Luciellidae	Pleurotomaria	crenulata	Pleurotomaria crenulata
Animalia	Mollusca	NA	Hemiphragmoceratidae	Octamerella	NA	Octamerella NA
Animalia	Mollusca	NA	Hemiphragmoceratidae	Tetrameroceras	NA	Tetrameroceras NA
Animalia	Mollusca	Unionida	Unionidae	Lampsilis	abrupta	Lampsilis abrupta
Animalia	Mollusca	NA	Platyceratidae	Platyostoma	NA	Platyostoma NA
Animalia	Mollusca	Pleurotomariida	Eotomariidae	Liospira	obtusa	Liospira obtusa
Animalia	Mollusca	NA	Platyceratidae	Platyceras	echinatum	Platyceras echinatum
Animalia	Mollusca	Stylommatophora	Helicidae	Helix	thyroidus	Helix thyroidus
Animalia	Mollusca	NA	Orthoceratidae	Orthoceras	annulatum	Orthoceras annulatum
Animalia	Mollusca	NA	Lophospiridae	Arjamannia	aulangonensis	Arjamannia aulangonensis
Animalia	Mollusca	Venerida	Sphaeriidae	Musculium	lacustre	Musculium lacustre
Animalia	Mollusca	NA	Bucaniidae	Tremanotus	NA	Tremanotus NA
Animalia	Mollusca	Nautilida	Aipoceratidae	Aipoceras	NA	Aipoceras NA
Animalia	Mollusca	Stylommatophora	Gastrodontidae	Gastrodonta	NA	Gastrodonta NA
Animalia	Mollusca	Stylommatophora	Helicidae	Helix	tridentina	Helix tridentina
Animalia	Mollusca	NA	Lymnaeidae	Ladislavella	elodes	Ladislavella elodes
Animalia	Mollusca	Unionida	Unionidae	Hemistena	lata	Hemistena lata
Animalia	Mollusca	NA	Pseudorthoceratidae	Mooreoceras	NA	Mooreoceras NA
Animalia	Mollusca	NA	Euomphalidae	Euomphalus	decewi	Euomphalus decewi
Animalia	Mollusca	Venerida	Sphaeriidae	Sphaeriidae	NA	Sphaeriidae NA
Animalia	Mollusca	NA	Lophospiridae	Murchisonia	milleri	Murchisonia milleri
Animalia	Mollusca	Stylommatophora	Philomycidae	Philomycus	carolinianus	Philomycus carolinianus
Animalia	Mollusca	Stylommatophora	Vertiginidae	Vertigo	milium	Vertigo milium
Animalia	Mollusca	Littorinimorpha	Hydrobiidae	Cincinnatia	cincinnatiensis	Cincinnatia cincinnatiensis
Animalia	Mollusca	Stylommatophora	Pyramidulidae	Pyramidula	solitaria	Pyramidula solitaria
Animalia	Mollusca	NA	Planorbidae	Segmentina	NA	Segmentina NA
Animalia	Mollusca	Unionida	Unionidae	Epioblasma	arcaeformis	Epioblasma arcaeformis
Animalia	Mollusca	Ammonoidea	Gattendorfiidae	Gattendorfia	alteri	Gattendorfia alteri
Animalia	Mollusca	Venerida	Sphaeriidae	Pisidium	idahoense	Pisidium idahoense
Animalia	Mollusca	NA	Lymnaeidae	Galba	obrussa	Galba obrussa
Animalia	Mollusca	Ostreida	Pterineidae	Pterinea	NA	Pterinea NA
Animalia	Mollusca	Venerida	Sphaeriidae	Sphaerium	NA	Sphaerium NA
Animalia	Mollusca	Stylommatophora	Agriolimacidae	Deroceras	laeve	Deroceras laeve
Animalia	Mollusca	NA	Ophidioceratidae	Ophioceras	NA	Ophioceras NA
