genus	spp	sci.name
Stagnicola	woodruffi	Stagnicola woodruffi
Stenotrema	hirsutum	Stenotrema hirsutum
Striatura	exigua	Striatura exigua
Striatura	ferrea	Striatura ferrea
Striatura	meridionalis	Striatura meridionalis
Striatura	milium	Striatura milium
Strobilops	affinis	Strobilops affinis
Strobilops	labyrinthicus	Strobilops labyrinthicus
Subulina	octona	Subulina octona
Succinea	unicolor	Succinea unicolor
Toxolasma	lividus	Toxolasma lividus
Toxolasma	parvum	Toxolasma parvum
Truncilla	donaciformis	Truncilla donaciformis
Vallonia	albula	Vallonia albula
Vallonia	costata	Vallonia costata
Vallonia	gracilicosta	Vallonia gracilicosta
Vallonia	parvula	Vallonia parvula
Vallonia	pulchella	Vallonia pulchella
Valvata	bicarinata	Valvata bicarinata
Valvata	lewisi	Valvata lewisi
Valvata	perdepressa	Valvata perdepressa
Valvata	sincera	Valvata sincera
Valvata	tricarinata	Valvata tricarinata
Valvata	winnebagoensis	Valvata winnebagoensis
Ventridens	intertextus	Ventridens intertextus
Ventridens	suppressus	Ventridens suppressus
Venustaconcha	ellipsiformis	Venustaconcha ellipsiformis
Vertigo	cristata	Vertigo cristata
Vertigo	elatior	Vertigo elatior
Vertigo	gouldi	Vertigo gouldi
Vertigo	hubrichti	Vertigo hubrichti
Vertigo	milium	Vertigo milium
Vertigo	modesta	Vertigo modesta
Vertigo	morsei	Vertigo morsei
Vertigo	nylanderi	Vertigo nylanderi
Vertigo	ovata	Vertigo ovata
Vertigo	paradoxa	Vertigo paradoxa
Vertigo	pygmaea	Vertigo pygmaea
Vertigo	tridentata	Vertigo tridentata
Vertigo	ventricosa	Vertigo ventricosa
Villosa	fabalis	Villosa fabalis
Villosa	iris	Villosa iris
Vitrina	angelicae	Vitrina angelicae
Xolotrema	denotatum	Xolotrema denotatum
Zonitoides	limatulus	Zonitoides limatulus
Zoogenetes	harpa	Zoogenetes harpa
